cntr,size,messAddra,cmacAddra,messIn,cmacIn,encrypted128,done,tag
 x,      34176,   x,   x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, x, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 0,      34176,   0,   0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 1,      34176,   1,   0, ffd8ffe000104a464946000101000001, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 2,      34176,   1,   0, 00010000ffdb00430008060607060508, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 3,      34176,   2,   0, 00010000ffdb00430008060607060508, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 4,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 5,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 6,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 7,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 8,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
 9,      34176,   2,   0, 0707070909080a0c140d0c0b0b0c1912, ffd8ffe000104a464946000101000001, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, 0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
